Date received,Product,Company,State,Complaint Text
2023-07-14 00:00:00,Credit card or prepaid card,CAPITAL ONE FINANCIAL CORPORATION,CA,"Capital One bank advertised on XXXX about their Quicksilver Cash Rewards XXXX -- {$200.00} bonus if used for {$500.00} in first XXXX months, and 0 % APY on balance transfers for XXXX  months. On XX/XX/2023, I selected "" apply here '' and completed the Capital One application which was approved. I received the card in the mail and activated it the same day by phone -- XX/XX/2023 -- the front side was identical to the card described and pictured on the XXXX XXXX website. I then used it for over {$600.00}, well within the time required to earn the bonus. On XXXX XXXX I called Capital One customer service, and was informed by the representative that the credit card i had received from them did not qualify for the {$200.00} bonus feature or the 0 % apy feature on purchases or balance transfers.After considerable discussion, she continued to maintain the same position. I asked to speak to her supervisor and he came on the line and I told him the whole story. He insisted that the card i was sent did not contain those features. I suggest that he might be violating federal law, but he did't waiver from his position. on the same day of the troublesome phone call, they sent me a letter announcing a 29.74 % apy 0n balance transfers. I have always paid the statement balances, on time on this card."
2025-06-03 00:00:00,Credit card,BARCLAYS BANK DELAWARE,FL,"The charges made on this account were not made or authorized by me. I have disputed these charges before, and I will continue to dispute these charges until they are removed from this account and my credit file. I have over one dozen card accounts all of which I pay on time or before time. In review of my credit report, you will find that the average age of the accounts is 8 years and that I have a 100 % payment history of on time or before time. The only exceptions to this fact are those accounts wherein I dispute certain unknown or unauthorized charges."
2024-06-07 00:00:00,Credit card,SYNCHRONY FINANCIAL,CA,"On XX/XX/XXXX I made a purchase with my XXXX Mastercard for {$2500.00} and another on XX/XX/XXXX for {$3200.00}. Both charges were shown as pending transactions on the day of purchase. On XX/XX/XXXX I cancelled the {$2500.00} order and the vendor issued a refund. 

As of XX/XX/XXXX, Synchrony Bank is showing all transactions posted and all still pending. They did not remove the pending authorizations even though the transactions fully processed and posted, including the refund of the original {$2500.00} charge that was also posted. 

As a result, Synchrony is showing available credit of - {$3100.00} due to hitting me with duplicate posted and pending transactions. Every other bank removes a pending authorization the moment a transaction is processed and posted. The account manager I spoke with on the phone, XXXX, said that this is an issue with the merchant and that they double charged me on the two days, and only one of each transaction posted with the remaining double still pending. However, another representative I subsequently spoke with said there aren't any double charges on the merchant 's end and that their authorization remains valid for a specific amount of time even though the transaction processed and posted. 

Synchrony is telling me to wait 5-6 days for the pending transactions to fall off my account even though the original authorizations already posted, making this MY PROBLEM. They are trying to blame the vendor, who has verified that they DID NOT double charge me. I am not being given a clear answer as to why I have to wait for pending transactions to fall off even when they were already processed and posted. All they can do is blame the vendor who didn't do anything. I was also told its something with the "" online ordering process '', which makes no sense. I have never experienced this ordering from this specific vendor with my other credit cards or any other vendors/credit cards, only the Synchrony Bank XXXX Mastercard & Synchrony bank policies that harm the customer seem to be the issue."
2024-02-05 00:00:00,Credit card,"CITIBANK, N.A.",MD,"I disputed a unauthorized charge from XX/XX/year> for {$140.00}. Citi looked into this and the vendor ( XXXX XXXX XXXX XXXX XXXX XXXX XXXX ) said we received the merchandise to our HOME ADDRESS so they reversed the charge back to me. I then took it upon myself to look into delivery options from XXXX XXXX XXXX and they do not offer shipping to home address and will only email the tickets to the purchaser. The email address used was not mine or my wife 's so that is how they stole our identity and purchased tickets ... nothing was sent to my home address and I contacted Citi and explained this to them but they still won't reverse the charge and have delayed this for almost 6 months now and are charging late fees and interest and constantly calling me to make payment. I have called them many times asking what else they need from me to prove this was an unauthorized payment and they say they are looking into it... nothing ever gets done and I am fed up with them treating me like a criminal as we had 4 charges total that were unauthorized on XX/XX/year> and they deemed 3 of the 4 charges not mine but keep trying to get me to pay for this 4th charge even though our identity was stolen on this date and they all used my wife 's name and address but a different email address, not ours."
2024-10-11 00:00:00,Credit card,"Bread Financial Holdings, Inc.",CO,"I purchased furniture from Arhaus XXXX on XX/XX/year>, on the condition that I take advantage of the financing promotion they were offering. The price of the furniture was {$4800.00}. When I asked about the financing option, the sales associates in the store ( XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX ) explained to me the promotion is for a credit card with Comenity bank, offering 6 months of 0 % interest/APR financing. They further explained to me that if the balance isn't paid off by the end of the 6 month promotional period, then interest will start accruing. However, after recently reviewing my credit card statement, I noticed a {$720.00} interest charge. Thinking this was a mistake, I called Arhaus XXXX  on XX/XX/year>, and they told me the finance promotion was for 6 months of deferred interest, not 0 % interest. At the time of the purchase, all the sales associates I spoke to and all their advertising made it clear the promotion was for 0 % financing, which is false and incredibly misleading. As a result, I ended up having to pay full interest as of the time of purchase. This has caused significant financial hardship for me and neither Arhaus XXXX nor Comenity bank is willing to provide any support or take accountability. They falsely advertised their financing promotion in order to close a deal."
2024-08-22 00:00:00,Credit card,CAPITAL ONE FINANCIAL CORPORATION,FL,"Capital One National Association XXXX XXXX XXXX XXXX XXXX XXXX, UT XXXX To : CFO/CEO/LEGAL DEPARTMENT, Re : Formal Notice of Liability, Violation of 12 U.S.C. 411, 412, G.A.A.P., Equal Credit Opportunity Act, and Opportunity to Cure This letter serves as a Formal Notice of Liability against Capital One National Association on behalf of XXXX XXXX XXXX XXXX for clear and actionable violations of federal statutes, regulatory principles, and biblical legal precedents governing equitable commerce . 

On or about XX/XX/year>, Capital One engaged in discriminatory practices and the unlawful restraint of trade through its denial of my consumer credit application, thereby infringing upon my consumer rights under the following statutes and principles : - 12 U.S.C. 411 and 412 : These statutes mandate that financial institutions provide equitable and fair access to money and credit. Your denial, without justification or proper documentation, constitutes a violation of my consumer legal right to such access. 
- Equal Credit Opportunity Act ( 15 U.S.C. 1691 et seq. ) : This federal statute prohibits discrimination based on race, color, religion, national origin, sex, marital status, or age in credit transactions. The denial of my clients credit application appears to have been made on arbitrary or discriminatory grounds, violating this law. 
- G.A.A.P. : Capital One, as a financial institution, is obligated to uphold principles of transparency, fairness, and non-discrimination in its dealings. Your institutions failure to do so further substantiates these claims. 
- XXXX XXXX ( XXXX XXXX ) : In alignment with ethical standards, the law requires impartiality in judgment. Your failure to act justly violates these moral and legal principles. 

This Notice of Liability serves as both a legal demand and an opportunity for Capital One to rectify its violations by reconsidering the denial of my consumer credit application and extending an appropriate line of credit, in line with my consumer financial profile, within 14 days of receiving this letter. Should you fail to cure this breach, I will seek all available legal remedies, including but not limited to, filing complaints with the Consumer Financial Protection Bureau ( CFPB ) and pursuing compensatory and punitive damages for discrimination, lost financial opportunities, and emotional distress. 

Capital Ones conduct has caused real and quantifiable harm. I will pursue relief under 12 U.S.C. 411 and 412, the Equal Credit Opportunity Act, and other applicable statutes if you do not take immediate corrective action. Additionally, should this matter proceed to litigation, I will seek full discovery of your internal records related to this decision, which may further expose discriminatory practices, escalating your legal risk. 

I trust that Capital One will act swiftly and by the law to remedy this situation. Failure to do so will be seen as an explicit acknowledgment of guilt, opening the door for further legal and regulatory actions. 

Sincerely, /s/ XXXX XXXX XXXX XXXX XXXX 
President/ Trustee/Non-Decedent"
2023-11-30 00:00:00,Credit card,CAPITAL ONE FINANCIAL CORPORATION,AZ,"It is impossible for me to change my physical address in my profile. I have not lived in XXXX for 5 years and during that time I have tried to change my physical address several times a year, hoping that the Capital One IT system has changed but it has not. My ex girlfriend lives at the address in XXXX that is currently posted in my Capital One account. I'm not 100 % sure that this is the reason I get credit card offers for her at my Arizona address but it seems logical. I got married since moving from XXXX and my new wife does not like getting credit card offers for my ex-girlfriend here in Arizona. 
I have called a total of three times in attempts to resolve this. I even sent a letter addressed to the IT manager at Capital One but I have no idea if it was delivered to the desired individual. I don't know what else to do which is way I fill out a complaint now. 

The main problem lies in the Capital One IT system that apparently uses the US Postal Service database for "" valid addresses ''. I live in a very sparsely populated rural area and the US Postal Service does not deliver mail here. XXXX and XXXX does come here and we have a "" XXXX sign '' at the gate of our 120 acre property, so it is a very real address. Just because the postal service does not deliver here, does not make our address "" invalid '', which is a joke. 

Capital One needs to get IT people that actually know what they are doing and change the system so that a user can have a choice when they fill out their physical address. Instead of a prompt that basically tells they user that they don't know what their own address is, give them a choice that says, "" are you sure this address is correct? '' Why there is such a stringent method used by Capital One for customers ' physical addresses is a total mystery and beyond stupid. 

My Capital One accounts are Cabela 's and Wal Mart ending is XXXX and XXXX respectively."
2025-06-24 00:00:00,Credit card,NAVY FEDERAL CREDIT UNION,TX,"Over-the-Limit Balance Without Consent My credit card has a fixed limit of {$13000.00}. 

Recent transactions have pushed the balance to over {$14000.00}, without my approval or warning. 

I did not authorize overlimit transactions, and was never notified that they would be allowed. 

Allowing over-limit purchases without prior consent violates standard consumer protections and potentially the Truth in Lending Act. 

2. XXXX XXXX Not Reflected I returned a recent XXXX purchase ( specific amount : approx. {$12.00} ) that should have been credited back to my account. 

As of the most recent statement, this refund is missing. 

This gives the appearance that the bank has either withheld the refund or redirected it, which constitutes a billing error. 

3. Excessive and Unclear Interest Charges A charge of {$170.00} in interest was applied on XX/XX/year>. 

This appears to be based on inflated or invalid balances, particularly since the account exceeded the credit limit without authorization. 

I have not received a breakdown of how this interest was calculated. 

4. Transactions Labeled "" Non-Disputable '' Several charges are flagged internally as non-disputable, preventing standard dispute procedures. 

This designation is concerning and potentially deceptive, especially when charges may involve billing errors or fraud.

I request full transparency on how and why these transactions are labeled this way. 

Requested Actions : Immediate investigation into the overlimit activity and who authorized it. 

Full accounting of interest charge calculation. 

Confirmation and processing of the XXXX refund. 

Removal of the non-disputable designation to restore my dispute rights. 

Refund of any improperly applied interest or overlimit fees."
2026-03-23 00:00:00,Credit card,JPMORGAN CHASE & CO.,NJ,"Subject : Formal Dispute of Late Payment Reporting To Whom It May Concern, My name is XXXX XXXX XXXX XXXX, and I am writing to formally dispute a late payment that has been reported on my credit file in connection with my credit card account. 

The reported late payment is inaccurate and does not reflect the true circumstances surrounding my account. This issue arose as a direct result of my personal bank account being closed, which prevented me from making my scheduled payment. This was an unforeseen situation beyond my control, and I did not willfully neglect my financial obligation. 

Once I became aware of the issue, I acted immediately to resolve the balance and bring my account current. I have otherwise maintained a responsible payment history and take my credit obligations very seriously. 

Under the Fair Credit Reporting Act ( FCRA ), I am requesting a full investigation of this matter. If the information can not be properly verified as accurate and complete, I respectfully request that the late payment be removed from my credit report. 

Additionally, I request that you consider this situation for a goodwill adjustment, as this isolated incident does not reflect my overall credit behavior. 

Please provide me with written confirmation of the results of your investigation. If you require any further documentation, I am willing to provide it promptly. 

Thank you for your time and attention to this matter. 

Sincerely, XXXX XXXX XXXX XXXX"
2025-11-19 00:00:00,Credit card,"CITIBANK, N.A.",TN,"I am filing a formal complaint against Citibank regarding multiple unresolved billing errors on my Best Buy Citi XXXX account ending in XXXX. These issues began on XX/XX/year>, and despite repeated attempts to resolve themincluding an email from Citi on XX/XX/year> acknowledging their own errorthe account has still not been corrected. The errors have now escalated and Citibank is billing me for balances I do not owe. 

1. Incorrect creation of two {$700.00} promotions ( {$1400.00} total ) In XX/XX/year>, I made a {$700.00} payment and requested it be allocated to a specific promotion. They did reallocate the payment, but in addition, a Citi representative mistakenly created two new {$700.00} promotional balances, both dated XX/XX/year>. Citi has admitted this error in writing. 

2. Citi removed the promotions but failed to remove the {$1400.00} balance itself On XX/XX/year>, Citi told me the two erroneous promos were deleted. However, the {$1400.00} balance was not removed. Instead, Citi reclassified it into an Other Balances category and charged interest on it = {$1400.00} 3. Improper interest charges caused by Citibanks own mistake Because Citi left the {$1400.00} balance on the account for months, interest of {$190.00} was added. Citi did not disclose this until later. They issued a {$300.00} credit, but never explained that the credit was to offset interest caused by their own error. The underlying incorrect balance still remains. 

4. Account still shows an invalid Other Balance of {$1200.00} because I was forced to make a payment of {$120.00} to not get charged with interest toward the account. 
This balance does not correspond to any authorized purchase, promotion, or transaction. It represents Citis error, plus residual interest. Citi is now forcing me to make payments toward both my legitimate promotional balances and this invalid Other Balance.

5. False claim that I did not pay a {$2300.00} promotional balance A Citibank representative named XXXX sent a letter claiming I failed to pay off a {$2300.00} promotion. This is false. I have records, payment confirmations, and even a confirmation number from a Citi manager verifying I paid it in full. Despite this, Citi claims I owe {$500.00} by XX/XX/year>, and says I will receive a {$190.00} credit afterward. None of this makes sense, and it appears to be another error layered on top of the original one. 

6. Failure to provide itemized corrections or explain their calculations Despite acknowledging the initial error, Citi has not corrected the account balance. They have not provided any itemized breakdown, explanation of the remaining Other Balance, or justification for the alleged {$500.00} amount. 


7. Violation of the Fair Credit Billing Act ( FCBA ) Citi has : Admitted a billing error Failed to correct the error Failed to remove the associated balance Improperly charged interest on an acknowledged mistake Issued inconsistent, incorrect statements Continued to bill me for amounts I do not owe Provided inaccurate payoff information Failed to provide a written, itemized correction Failed to freeze the disputed amount as required during investigation These are direct FCBA violations.

8. Ongoing financial harm Citi is billing me for invalid amounts, charging interest on their own mistakes, and forcing me to make payments toward balances that are not tied to any legitimate transaction. I am now required to make two payments per monthone toward legitimate promotions and another toward a balance created entirely by Citis error.

Requested Resolution : I am requesting that Citi : Remove the erroneous {$1200.00} Other Balance ( originally {$1400.00} ), and credit me back the {$120.00}. 

Remove all associated interest charges. 

Correctly acknowledge and confirm that my {$2300.00} promotion was paid in full. 

Provide a full, itemized written correction for my account. 

Cease any attempts to collect the disputed balances. 

Ensure no negative credit reporting related to these errors. 

I have documentation, recordings of calls, confirmation numbers, and written admissions from Citi proving these amounts were created in error. 

I am asking the CFPB to intervene, as Citibank has failed to resolve these issues after months ( since XX/XX/year> ) of attempts."
